,0,1,2,3,4,5,6,7,8,9
H_alpha,0.0784,0.0898,0.0933,0.0865,0.0929,0.0896,0.0949,0.0935,0.0839,0.0921
1.d SGF,0.2018,0.2018,0.1946,0.1855,0.1911,0.1844,0.1865,0.1894,0.1899,0.2041
2.d SGF,0.0998,0.0972,0.0912,0.0963,0.0962,0.0888,0.1005,0.0918,0.1081,0.0957
MM 4,0.0278,0.0306,0.0265,0.0384,0.026,0.0199,0.0231,0.028,0.0313,0.0266
MM 6,0.0281,0.0196,0.0239,0.0256,0.0196,0.0224,0.0264,0.0246,0.0285,0.0179
MM 8,0.0217,0.0143,0.0111,0.0166,0.0198,0.0189,0.0119,0.0185,0.0142,0.0165
MM 10,0.0147,0.0165,0.0142,0.0104,0.0137,0.0155,0.0109,0.01,0.0096,0.0109
MM 12,0.0106,0.0119,0.0126,0.012,0.0077,0.0178,0.0102,0.0085,0.0114,0.0098
MM 14,0.0117,0.0254,0.0168,0.0156,0.0173,0.0188,0.0143,0.0184,0.0141,0.0109
MM 16,0.0498,0.0559,0.0528,0.0545,0.0547,0.0446,0.0465,0.0579,0.0483,0.0524
EMM 4,0.043,0.0277,0.0328,0.0373,0.0424,0.0354,0.0341,0.0409,0.0437,0.0418
EMM 6,0.026,0.015,0.0175,0.0197,0.0183,0.0201,0.0221,0.0193,0.0161,0.0106
EMM 8,0.0206,0.0156,0.0164,0.019,0.017,0.0192,0.0207,0.0138,0.0182,0.0215
EMM 10,0.0145,0.016,0.0157,0.0065,0.0099,0.0137,0.01,0.013,0.0116,0.0111
EMM 12,0.0154,0.0128,0.0165,0.0127,0.0164,0.0173,0.0163,0.0099,0.0098,0.0153
EMM 14,0.0115,0.0104,0.0132,0.0085,0.0139,0.0153,0.0117,0.0087,0.0141,0.0127
EMM 16,0.0209,0.0324,0.0213,0.0246,0.0221,0.0275,0.0285,0.0283,0.0239,0.0243
MV 5,0.0318,0.0289,0.0309,0.0316,0.0351,0.0266,0.0317,0.0311,0.0301,0.0272
MV 6,0.0107,0.013,0.0115,0.0115,0.0079,0.0091,0.0116,0.0088,0.0123,0.0101
MV 7,0.0095,0.0128,0.0133,0.0152,0.0125,0.0151,0.0143,0.0168,0.0083,0.0143
MV 8,0.0128,0.0113,0.0123,0.0144,0.0128,0.0107,0.0093,0.0103,0.0105,0.0119
MV 9,0.0132,0.0161,0.0126,0.0182,0.013,0.0203,0.0178,0.0154,0.0165,0.0187
MV 10,0.0124,0.0106,0.011,0.0157,0.0117,0.0116,0.0061,0.0109,0.0139,0.015
MV 11,0.013,0.0173,0.0149,0.0134,0.0126,0.0193,0.015,0.0143,0.0081,0.0162
MV 12,0.013,0.0157,0.0182,0.0136,0.015,0.0138,0.0165,0.0136,0.0132,0.0146
MV 13,0.0158,0.0217,0.0168,0.0199,0.0189,0.0172,0.0198,0.0186,0.017,0.0163
MV 14,0.0126,0.0151,0.0163,0.0145,0.0182,0.0222,0.0217,0.0161,0.0148,0.0171
MV 15,0.012,0.01,0.0222,0.0133,0.0191,0.0216,0.0185,0.0212,0.0206,0.0222
MV 16,0.147,0.1347,0.1497,0.149,0.1443,0.143,0.1493,0.1483,0.1579,0.1421
